Casa de apostas,Março,Abril,Maio,Junho,Julho,Agosto,Top
Betano,27708607,24819520,26831940,27830802,110878760,97885700,1
Bet7k,58116160,71719918,69961800,71346528,107463760,89364810,2
Betnacional,42596112,31567272,29770851,26175560,92147760,75234690,3
Esporte da Sorte,20953258,21640738,16941996,15748936,61603839,68891040,4
Bet365,19144114,19666178,21110515,19094647,64584000,64465560,5
Estrelabet,24678340,27855546,26666850,26574977,52633670,46881854,6
Superbet,4330320,"8041080,6",12251525,20705489,28585584,41817180,7
7games.bet,4011042,4910224,5341212,60289650,32747220,39232864,8
Sportingbet,13406083,17944564,17071679,17353270,42124066,31259640,9
Brazino777,12674893,10925685,13017356,8122158,44058890,28523432,10
VaideBet,5199505,"7606501,8",12545078,11775040,26992980,23086890,11
Betfair,9822400,9905350,10725368,9855136,20817244,21598742,12
CassinoPIX,7620728,16243409,25283736,23815925,19768231,18458640,13
Pixbet,11914224,"8727248,4",9062291,7692356,18801180,18458640,14
PariMatch,2046672,1559384,1973197,12147040,14412608,13326296,15
OnaBet,4203462,3955280,4357980,10541912,337449,11251800,16
ijogo.com,10739630,15637608,1024444.5,13808340,9189000,10680000,17
KTO,4673511,"3805994,2",3091431,11949234,11176242,10224144,18
Dpsports.bet,2885148,"2568868,2",3183076,2810,11528460,10199790,19
Novibet,2784494,3545289,4580152,11678728,12199400,9579915,20
Blaze,44824239,37888908,33763836,20080536,9202456,9410892,21
PlayPix,7114588,6828396,6931729,6376344,7430670,7233136,22
Mr. Jack Bet,4069566,10969200,7602309,4167507,8922856,7109536,23
F12bet,15855280,8868821,6029424,7301959,7430328,6595163,24
ApostaGanha,3182075,"2710092,5",3547932,6261788,5572671,5438822,25
RealsBet,,458150,616882,3826170,3826170,4130451,26
Rivalo,3359769,4062229,3518128,5800704,4632732,4100093,27
H2Bet,"2452482,9","2908625,4",3184272,8291700,8911080,4078917,28
Pagbet,1241933,"1143593,4",1138316,5294700,5125896,3983613,29
Stake,755160,859320,2341399,5729640,7760480,3712532,30
BetBoom,,"383684,302",499252,3839136,3100230,2875650,31
rico33.com,32390832,13948942,9236500,4438812,2210000,2291000,32
Zeroumbet,-,-,-,423736,1396000,2132000,33
Betfast.io,"2683116,4",2842155,1839021,1599200,1878120,1965819,34
1xbet,#REF!,"269603,2",309749,387348,294525,1851652,35
Betpix,,"49265,6136",114320,1548915,1658838,1251486,36
UPBET,,430113,766855,999000,885007,891554,37
BC.Game,,"22112,454",182178,312344,865836,867786,38
Papi Games,"380160,4776","595576,1784",508811,269791,559720,696605,39
Betway,,"362364,1",330200,497280,415008,555944,40
Sportsbet.io,,"27120,933",1240990,815744,823644,550615,41
Rivalry,"1059722,1","677145,7",624309,847896,841034,507178,42
Elisa.bet,"973063,2","597788,0748",478120,496250,441601,484153,43
Bet77,,"74692,4266",130150,4376403,438737,425167,44
Betsat,6143373,5712516,9056745,4066098,649933,364431,45
LeoVegas,,290697,325120,328990,359600,346471,46
20bet,560091,"585094,8",1296316,4664898,2505130,328197,47
Betsson,#REF!,"475346,8",835298,685748,325620,327316,48
Betmotion,,"159443,06",215660,369595,398857,295257,49
Bodog,,"442899,8272",595272,211690,242750,280215,50
Betse,9974456,17829216,12717210,7288681,2500000,169029,51
Betwinner,,"48400,8",68385,167942,117612,129671,52
Vida Vegas,"176663,62",2036532,1532466,790133,154307,90109,53
PlayFortuna,,"57552,4915",96046,91305,86291,77125,54
Winz.io,,"26297,7506",106192,178726,128676,72637,55
Nossabet,,"23692,2381",25142,12844,15599,52558,56
inplayBet,,"203103,6683",262590,106351,39684,41589,57
Melbet,,25494,32316,24660,66220,41360,58
22bet,,15555,23550,30944,32421,26521,59
BacanaPlay,,"25846,9986",57863,39586,20368,25408,60
Fun88,,"40998,0288",34544,12298,16971,22617,61
Playgreen,,"32272,6248",20244,8495,9839,17453,62
Spin Cassino,,"22278,1172",26436,12600,11236,9155,63
10bet,,"19593,5379",15777,11661,8874,8087,64
Rabona,,"45234,0724",23127,6900,5283,6781,65
BetVictor,,5165,5115,4410,3328,4404,66
Campobet,,"5407,5476",4973,3085,420,2946,67
Sportaza,,"1547,91",16106,4172,1153,2678,68
BestBet!,,"458222,7",19070,9869,31575,1111,69
Fivebet,,"15,7726",11339,2426,2412,0,70
Betpet,,5000,5000,0,120,0,71